id,name,test_type,test_type_codes,keys,duration_minutes,languages,job_levels,remote,adaptive,description,url
50,Automata - SQL (New),S,S,Simulations,30,English (USA),Mid-Professional;Professional Individual Contributor,True,False,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",https://www.shl.com/products/product-catalog/view/automata-sql-new/
51,Automata (New),S,S,Simulations,45,English (USA),Mid-Professional;Professional Individual Contributor,True,False,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. 
 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",https://www.shl.com/products/product-catalog/view/automata-new/
52,Automata Data Science (New),S,S,Simulations,60,English (USA),Mid-Professional;Professional Individual Contributor,True,False,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,https://www.shl.com/products/product-catalog/view/automata-data-science-new/
53,Automata Data Science Pro (New),S,S,Simulations,60,English (USA),Professional Individual Contributor;Mid-Professional,True,False,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/
54,Automata Front End,S,S,Simulations,30,English (USA),Entry-Level;Graduate;Mid-Professional;Professional Individual Contributor;Manager,True,False,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored.",https://www.shl.com/products/product-catalog/view/automata-front-end/
55,Automata Pro (New),S,S,Simulations,60,English (USA),Mid-Professional;Professional Individual Contributor,True,False,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. 
 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",https://www.shl.com/products/product-catalog/view/automata-pro-new/
56,Automata Selenium,S,S,Simulations,60,English (USA),Entry-Level;Graduate;Manager;Mid-Professional;Professional Individual Contributor,True,False,A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,https://www.shl.com/products/product-catalog/view/automata-selenium/
57,Automation Anywhere RPA Development (New),K,K,Knowledge & Skills,8,English (USA),Mid-Professional;Professional Individual Contributor,True,False,"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client.",https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/
58,Automotive Engineering (New),K,K,Knowledge & Skills,13,English (USA),Graduate;Mid-Professional;Professional Individual Contributor,True,False,"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting.",https://www.shl.com/products/product-catalog/view/automotive-engineering-new/
59,Basic Biology (New),K,K,Knowledge & Skills,6,English (USA),Professional Individual Contributor;Graduate;Mid-Professional,True,False,Multi choice test that measures the candidate's basic understanding of Biology.,https://www.shl.com/products/product-catalog/view/basic-biology-new/
60,Basic Statistics (New),K,K,Knowledge & Skills,10,English (USA),Graduate;Mid-Professional;Professional Individual Contributor,True,False,"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing.",https://www.shl.com/products/product-catalog/view/basic-statistics-new/
61,Biochemistry (New),K,K,Knowledge & Skills,8,English (USA),Graduate;Mid-Professional;Professional Individual Contributor,True,False,"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism.",https://www.shl.com/products/product-catalog/view/biochemistry-new/
62,Biotech Lab Techniques (New),K,K,Knowledge & Skills,5,English (USA),Graduate;Professional Individual Contributor;Mid-Professional,True,False,"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.",https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/
63,BizTalk (New),K,K,Knowledge & Skills,16,English (USA),Mid-Professional;Professional Individual Contributor,True,False,"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.",https://www.shl.com/products/product-catalog/view/biztalk-new/
64,Business Communication (adaptive),K,K,Knowledge & Skills,24,English (USA),Entry-Level;Front Line Manager;Manager;Mid-Professional;Professional Individual Contributor,True,True,"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication.",https://www.shl.com/products/product-catalog/view/business-communication-adaptive/
65,Business Communications,K,K,Knowledge & Skills,35,English (USA),,True,False,"This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive.",https://www.shl.com/products/product-catalog/view/business-communications/
66,C Programming (New),K,K,Knowledge & Skills,10,English (USA),Mid-Professional;Professional Individual Contributor,True,False,"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory.",https://www.shl.com/products/product-catalog/view/c-programming-new/
67,C# Programming (New),K,K,Knowledge & Skills,9,English (USA),Mid-Professional;Professional Individual Contributor,True,False,"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading.",https://www.shl.com/products/product-catalog/view/c-programming-new-4039/
68,C++ Programming (New),K,K,Knowledge & Skills,10,English (USA),Mid-Professional;Professional Individual Contributor,True,False,Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,https://www.shl.com/products/product-catalog/view/c-programming-new-4122/
69,Cardiology and Diabetes Management (New),K,K,Knowledge & Skills,4,English (USA),Graduate;Mid-Professional;Professional Individual Contributor,True,False,"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them.",https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/
70,Ceramic Engineering (New),K,K,Knowledge & Skills,12,English (USA),Graduate;Mid-Professional;Professional Individual Contributor,True,False,"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.",https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/
71,Chemical Engineering (New),K,K,Knowledge & Skills,13,English (USA),Graduate;Mid-Professional;Professional Individual Contributor,True,False,"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations.",https://www.shl.com/products/product-catalog/view/chemical-engineering-new/
72,Cisco AppDynamics (New),K,K,Knowledge & Skills,9,English (USA),Mid-Professional;Professional Individual Contributor,True,False,"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring.",https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/
73,Civil Engineering (New),K,K,Knowledge & Skills,10,English (USA),Graduate;Manager;Mid-Professional;Professional Individual Contributor;Supervisor,True,False,"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering.",https://www.shl.com/products/product-catalog/view/civil-engineering-new/
